1,1666562913.743552__file_1.mp3,1666562913.743552__file_1.aac,2022-10-23 22:08:10.606638+00,MP3,AAC,PROCESSED,1,2022-10-23 22:08:42.337737+00
2,1666562914.108797__file_2.mp3,1666562914.108797__file_2.aac,2022-10-23 22:08:33.750921+00,MP3,AAC,PROCESSED,1,2022-10-23 22:08:51.471716+00
3,1666562914.393548__file_3.mp3,1666562914.393548__file_3.aac,2022-10-23 22:08:34.113567+00,MP3,AAC,PROCESSED,1,2022-10-23 22:09:00.383941+00
5,1666562914.88576__file_5.mp3,1666562914.88576__file_5.ogg,2022-10-23 22:08:34.592367+00,MP3,OGG,PROCESSED,1,2022-10-23 22:09:20.087991+00
6,1666562915.094983__file_6.mp3,1666562915.094983__file_6.wav,2022-10-23 22:08:34.898174+00,MP3,WAV,PROCESSED,1,2022-10-23 22:09:21.514531+00
7,1666562915.380791__file_7.mp3,1666562915.380791__file_7.wav,2022-10-23 22:08:35.106585+00,MP3,WAV,PROCESSED,1,2022-10-23 22:09:23.512013+00
9,1666562915.892114__file_9.mp3,1666562915.892114__file_9.wma,2022-10-23 22:08:35.569966+00,MP3,WMA,PROCESSED,1,2022-10-23 22:09:32.883777+00
10,1666562916.037771__file_10.aac,1666562916.037771__file_10.mp3,2022-10-23 22:08:35.897888+00,AAC,MP3,PROCESSED,1,2022-10-23 22:09:48.969256+00
11,1666562916.32811__file_11.aac,1666562916.32811__file_11.mp3,2022-10-23 22:08:36.050264+00,AAC,MP3,PROCESSED,1,2022-10-23 22:09:58.208457+00
13,1666562916.829716__file_13.aac,1666562916.829716__file_13.ogg,2022-10-23 22:08:36.552534+00,AAC,OGG,PROCESSED,1,2022-10-23 22:10:09.032459+00
14,1666562917.103537__file_14.aac,1666562917.103537__file_14.ogg,2022-10-23 22:08:36.849804+00,AAC,OGG,PROCESSED,1,2022-10-23 22:10:13.342121+00
16,1666562917.599368__file_16.aac,1666562917.599368__file_16.wma,2022-10-23 22:08:37.388022+00,AAC,WMA,PROCESSED,1,2022-10-23 22:10:15.624444+00
17,1666562917.74625__file_17.ogg,1666562917.74625__file_17.mp3,2022-10-23 22:08:37.608031+00,OGG,MP3,PROCESSED,1,2022-10-23 22:10:22.340833+00
18,1666562917.966339__file_18.ogg,1666562917.966339__file_18.mp3,2022-10-23 22:08:37.751853+00,OGG,MP3,PROCESSED,1,2022-10-23 22:10:27.88654+00
20,1666562918.393676__file_20.ogg,1666562918.393676__file_20.aac,2022-10-23 22:08:38.154415+00,OGG,AAC,PROCESSED,1,2022-10-23 22:10:33.363079+00
21,1666562918.717626__file_21.ogg,1666562918.717626__file_21.wma,2022-10-23 22:08:38.418394+00,OGG,WMA,PROCESSED,1,2022-10-23 22:10:36.502239+00
22,1666562919.690406__file_22.wav,1666562919.690406__file_22.aac,2022-10-23 22:08:38.726748+00,WAV,AAC,PROCESSED,1,2022-10-23 22:10:40.044096+00
24,1666562921.832275__file_24.wav,1666562921.832275__file_24.ogg,2022-10-23 22:08:40.969945+00,WAV,OGG,PROCESSED,1,2022-10-23 22:10:50.559472+00
25,1666562923.003437__file_25.wav,1666562923.003437__file_25.wma,2022-10-23 22:08:41.844618+00,WAV,WMA,PROCESSED,1,2022-10-23 22:10:51.992869+00
26,1666562923.305013__file_1.mp3,1666562923.305013__file_1.aac,2022-10-23 22:08:43.015636+00,MP3,AAC,PROCESSED,1,2022-10-23 22:10:55.917608+00
28,1666562923.89917__file_3.mp3,1666562923.89917__file_3.aac,2022-10-23 22:08:43.623324+00,MP3,AAC,PROCESSED,1,2022-10-23 22:11:04.548882+00
29,1666562924.077441__file_4.mp3,1666562924.077441__file_4.ogg,2022-10-23 22:08:43.908618+00,MP3,OGG,PROCESSED,1,2022-10-23 22:11:08.514826+00
30,1666562924.458001__file_5.mp3,1666562924.458001__file_5.ogg,2022-10-23 22:08:44.132341+00,MP3,OGG,PROCESSED,1,2022-10-23 22:11:13.57811+00
32,1666562924.958157__file_7.mp3,1666562924.958157__file_7.wav,2022-10-23 22:08:44.66979+00,MP3,WAV,PROCESSED,1,2022-10-23 22:11:15.094939+00
33,1666562925.192849__file_8.mp3,1666562925.192849__file_8.wma,2022-10-23 22:08:44.968101+00,MP3,WMA,PROCESSED,1,2022-10-23 22:11:16.590651+00
34,1666562925.514192__file_9.mp3,1666562925.514192__file_9.wma,2022-10-23 22:08:45.216723+00,MP3,WMA,PROCESSED,1,2022-10-23 22:11:19.508023+00
36,1666562925.965913__file_11.aac,1666562925.965913__file_11.mp3,2022-10-23 22:08:45.680366+00,AAC,MP3,PROCESSED,1,2022-10-23 22:11:34.138371+00
37,1666562926.166278__file_12.aac,1666562926.166278__file_12.mp3,2022-10-23 22:08:45.974452+00,AAC,MP3,PROCESSED,1,2022-10-23 22:11:38.896566+00
38,1666562926.434535__file_13.aac,1666562926.434535__file_13.ogg,2022-10-23 22:08:46.171648+00,AAC,OGG,PROCESSED,1,2022-10-23 22:11:44.509417+00
40,1666562926.925039__file_15.aac,1666562926.925039__file_15.wav,2022-10-23 22:08:46.693315+00,AAC,WAV,PROCESSED,1,2022-10-23 22:11:49.479783+00
41,1666562927.157352__file_16.aac,1666562927.157352__file_16.wma,2022-10-23 22:08:46.93784+00,AAC,WMA,PROCESSED,1,2022-10-23 22:11:51.138755+00
42,1666562927.299831__file_17.ogg,1666562927.299831__file_17.mp3,2022-10-23 22:08:47.166085+00,OGG,MP3,PROCESSED,1,2022-10-23 22:11:57.554047+00
44,1666562927.773467__file_19.ogg,1666562927.773467__file_19.wav,2022-10-23 22:08:47.546439+00,OGG,WAV,PROCESSED,1,2022-10-23 22:12:04.299731+00
45,1666562927.994937__file_20.ogg,1666562927.994937__file_20.aac,2022-10-23 22:08:47.784436+00,OGG,AAC,PROCESSED,1,2022-10-23 22:12:08.329467+00
47,1666562929.28403__file_22.wav,1666562929.28403__file_22.aac,2022-10-23 22:08:48.28037+00,WAV,AAC,PROCESSED,1,2022-10-23 22:12:14.989746+00
48,1666562930.419285__file_23.wav,1666562930.419285__file_23.mp3,2022-10-23 22:08:49.29764+00,WAV,MP3,PROCESSED,1,2022-10-23 22:12:21.29139+00
