1,1666560194.016328__file_1.mp3,1666560194.016328__file_1.aac,2022-10-23 21:22:45.924914+00,MP3,AAC,PROCESSED,1,2022-10-23 21:23:22.318233+00
2,1666560194.4126__file_2.mp3,1666560194.4126__file_2.aac,2022-10-23 21:23:14.028797+00,MP3,AAC,PROCESSED,1,2022-10-23 21:23:31.103745+00
3,1666560194.713164__file_3.mp3,1666560194.713164__file_3.aac,2022-10-23 21:23:14.41855+00,MP3,AAC,PROCESSED,1,2022-10-23 21:23:39.531918+00
5,1666560195.239868__file_5.mp3,1666560195.239868__file_5.ogg,2022-10-23 21:23:14.92312+00,MP3,OGG,PROCESSED,1,2022-10-23 21:23:59.168243+00
6,1666560195.445485__file_6.mp3,1666560195.445485__file_6.wav,2022-10-23 21:23:15.25285+00,MP3,WAV,PROCESSED,1,2022-10-23 21:24:00.629992+00
7,1666560195.694871__file_7.mp3,1666560195.694871__file_7.wav,2022-10-23 21:23:15.454071+00,MP3,WAV,PROCESSED,1,2022-10-23 21:24:02.541396+00
9,1666560196.181209__file_9.mp3,1666560196.181209__file_9.wma,2022-10-23 21:23:15.898282+00,MP3,WMA,PROCESSED,1,2022-10-23 21:24:11.897341+00
10,1666560196.416851__file_10.aac,1666560196.416851__file_10.mp3,2022-10-23 21:23:16.277293+00,AAC,MP3,PROCESSED,1,2022-10-23 21:24:27.456634+00
11,1666560196.705491__file_11.aac,1666560196.705491__file_11.mp3,2022-10-23 21:23:16.431511+00,AAC,MP3,PROCESSED,1,2022-10-23 21:24:37.422007+00
13,1666560197.343111__file_13.aac,1666560197.343111__file_13.ogg,2022-10-23 21:23:17.041005+00,AAC,OGG,PROCESSED,1,2022-10-23 21:24:47.555061+00
14,1666560197.548286__file_14.aac,1666560197.548286__file_14.ogg,2022-10-23 21:23:17.348246+00,AAC,OGG,PROCESSED,1,2022-10-23 21:24:51.949187+00
16,1666560198.022899__file_16.aac,1666560198.022899__file_16.wma,2022-10-23 21:23:17.832753+00,AAC,WMA,PROCESSED,1,2022-10-23 21:24:54.222372+00
17,1666560198.173504__file_17.ogg,1666560198.173504__file_17.mp3,2022-10-23 21:23:18.030423+00,OGG,MP3,PROCESSED,1,2022-10-23 21:25:00.877388+00
18,1666560198.439775__file_18.ogg,1666560198.439775__file_18.mp3,2022-10-23 21:23:18.178162+00,OGG,MP3,PROCESSED,1,2022-10-23 21:25:06.356803+00
20,1666560198.872856__file_20.ogg,1666560198.872856__file_20.aac,2022-10-23 21:23:18.649086+00,OGG,AAC,PROCESSED,1,2022-10-23 21:25:11.613224+00
21,1666560199.161968__file_21.ogg,1666560199.161968__file_21.wma,2022-10-23 21:23:18.878006+00,OGG,WMA,PROCESSED,1,2022-10-23 21:25:14.76366+00
22,1666560200.178895__file_22.wav,1666560200.178895__file_22.aac,2022-10-23 21:23:19.169605+00,WAV,AAC,PROCESSED,1,2022-10-23 21:25:18.357544+00
24,1666560202.455699__file_24.wav,1666560202.455699__file_24.ogg,2022-10-23 21:23:21.470016+00,WAV,OGG,PROCESSED,1,2022-10-23 21:25:28.881469+00
25,1666560203.492703__file_25.wav,1666560203.492703__file_25.wma,2022-10-23 21:23:22.475047+00,WAV,WMA,PROCESSED,1,2022-10-23 21:25:30.352239+00
26,1666560203.855762__file_1.mp3,1666560203.855762__file_1.aac,2022-10-23 21:23:23.560299+00,MP3,AAC,PROCESSED,1,2022-10-23 21:25:34.333883+00
28,1666560204.530413__file_3.mp3,1666560204.530413__file_3.aac,2022-10-23 21:23:24.280741+00,MP3,AAC,PROCESSED,1,2022-10-23 21:25:42.711957+00
29,1666560204.742235__file_4.mp3,1666560204.742235__file_4.ogg,2022-10-23 21:23:24.564601+00,MP3,OGG,PROCESSED,1,2022-10-23 21:25:46.725103+00
