1,1666506192.355276__file_1.mp3,1666506192.355276__file_1.aac,2022-10-23 06:22:56.951225+00,MP3,AAC,PROCESSED,1,2022-10-23 06:23:20.689463+00
26,1666506202.876239__file_26.wma,,2022-10-23 06:23:22.579192+00,WMA,MP3,UPLOADED,1,
27,1666506203.132528__file_27.wma,,2022-10-23 06:23:22.957157+00,WMA,MP3,UPLOADED,1,
28,1666506203.350286__file_28.wma,,2022-10-23 06:23:23.14261+00,WMA,AAC,UPLOADED,1,
29,1666506203.564849__file_29.wma,,2022-10-23 06:23:23.363635+00,WMA,OGG,UPLOADED,1,
30,1666506203.725256__file_30.wma,,2022-10-23 06:23:23.568213+00,WMA,WAV,UPLOADED,1,
2,1666506192.765314__file_2.mp3,1666506192.765314__file_2.aac,2022-10-23 06:23:12.386852+00,MP3,AAC,PROCESSED,1,2022-10-23 06:23:28.852884+00
3,1666506193.178995__file_3.mp3,1666506193.178995__file_3.aac,2022-10-23 06:23:12.784478+00,MP3,AAC,PROCESSED,1,2022-10-23 06:23:32.488295+00
4,1666506193.474589__file_4.mp3,1666506193.474589__file_4.ogg,2022-10-23 06:23:13.188164+00,MP3,OGG,PROCESSED,1,2022-10-23 06:23:36.043562+00
5,1666506193.833297__file_5.mp3,1666506193.833297__file_5.ogg,2022-10-23 06:23:13.483041+00,MP3,OGG,PROCESSED,1,2022-10-23 06:23:40.595923+00
6,1666506194.095018__file_6.mp3,1666506194.095018__file_6.wav,2022-10-23 06:23:13.841602+00,MP3,WAV,PROCESSED,1,2022-10-23 06:23:41.165839+00
7,1666506194.37177__file_7.mp3,1666506194.37177__file_7.wav,2022-10-23 06:23:14.106202+00,MP3,WAV,PROCESSED,1,2022-10-23 06:23:41.969733+00
8,1666506194.564575__file_8.mp3,1666506194.564575__file_8.wma,2022-10-23 06:23:14.388+00,MP3,WMA,PROCESSED,1,2022-10-23 06:23:43.558899+00
9,1666506195.14618__file_9.mp3,1666506195.14618__file_9.wma,2022-10-23 06:23:14.711321+00,MP3,WMA,PROCESSED,1,2022-10-23 06:23:45.99656+00
10,1666506195.591204__file_10.aac,1666506195.591204__file_10.mp3,2022-10-23 06:23:15.168911+00,AAC,MP3,PROCESSED,1,2022-10-23 06:23:52.482814+00
11,1666506195.854729__file_11.aac,1666506195.854729__file_11.mp3,2022-10-23 06:23:15.600666+00,AAC,MP3,PROCESSED,1,2022-10-23 06:23:58.915587+00
12,1666506196.029365__file_12.aac,1666506196.029365__file_12.mp3,2022-10-23 06:23:15.862758+00,AAC,MP3,PROCESSED,1,2022-10-23 06:24:03.113576+00
13,1666506196.238755__file_13.aac,1666506196.238755__file_13.ogg,2022-10-23 06:23:16.042644+00,AAC,OGG,PROCESSED,1,2022-10-23 06:24:07.761152+00
14,1666506196.431771__file_14.aac,1666506196.431771__file_14.ogg,2022-10-23 06:23:16.247116+00,AAC,OGG,PROCESSED,1,2022-10-23 06:24:11.567731+00
15,1666506196.679044__file_15.aac,1666506196.679044__file_15.wav,2022-10-23 06:23:16.440563+00,AAC,WAV,PROCESSED,1,2022-10-23 06:24:12.211735+00
16,1666506196.963643__file_16.aac,1666506196.963643__file_16.wma,2022-10-23 06:23:16.687259+00,AAC,WMA,PROCESSED,1,2022-10-23 06:24:13.606054+00
