1,1666564270.903517__file_1.mp3,1666564270.903517__file_1.aac,2022-10-23 22:30:52.527699+00,MP3,AAC,PROCESSED,1,2022-10-23 22:31:19.280049+00
2,1666564271.273349__file_2.mp3,1666564271.273349__file_2.aac,2022-10-23 22:31:10.916227+00,MP3,AAC,PROCESSED,1,2022-10-23 22:31:28.472861+00
3,1666564271.586827__file_3.mp3,1666564271.586827__file_3.aac,2022-10-23 22:31:11.289582+00,MP3,AAC,PROCESSED,1,2022-10-23 22:31:37.291902+00
5,1666564272.041742__file_5.mp3,1666564272.041742__file_5.ogg,2022-10-23 22:31:11.821002+00,MP3,OGG,PROCESSED,1,2022-10-23 22:31:57.214295+00
6,1666564272.237445__file_6.mp3,1666564272.237445__file_6.wav,2022-10-23 22:31:12.052776+00,MP3,WAV,PROCESSED,1,2022-10-23 22:31:58.782461+00
7,1666564272.612327__file_7.mp3,1666564272.612327__file_7.wav,2022-10-23 22:31:12.247081+00,MP3,WAV,PROCESSED,1,2022-10-23 22:32:00.920758+00
9,1666564273.100767__file_9.mp3,1666564273.100767__file_9.wma,2022-10-23 22:31:12.804398+00,MP3,WMA,PROCESSED,1,2022-10-23 22:32:10.209079+00
10,1666564273.265305__file_10.aac,1666564273.265305__file_10.mp3,2022-10-23 22:31:13.123166+00,AAC,MP3,PROCESSED,1,2022-10-23 22:32:26.25938+00
12,1666564273.870905__file_12.aac,1666564273.870905__file_12.mp3,2022-10-23 22:31:13.563946+00,AAC,MP3,PROCESSED,1,2022-10-23 22:32:40.047+00
13,1666564274.115415__file_13.aac,1666564274.115415__file_13.ogg,2022-10-23 22:31:13.874606+00,AAC,OGG,PROCESSED,1,2022-10-23 22:32:45.47406+00
14,1666564274.351538__file_14.aac,1666564274.351538__file_14.ogg,2022-10-23 22:31:14.136404+00,AAC,OGG,PROCESSED,1,2022-10-23 22:32:49.920252+00
16,1666564274.887357__file_16.aac,1666564274.887357__file_16.wma,2022-10-23 22:31:14.672267+00,AAC,WMA,PROCESSED,1,2022-10-23 22:32:52.265888+00
17,1666564275.030981__file_17.ogg,1666564275.030981__file_17.mp3,2022-10-23 22:31:14.896208+00,OGG,MP3,PROCESSED,1,2022-10-23 22:32:58.800565+00
18,1666564275.301514__file_18.ogg,1666564275.301514__file_18.mp3,2022-10-23 22:31:15.053446+00,OGG,MP3,PROCESSED,1,2022-10-23 22:33:04.288963+00
20,1666564275.7549__file_20.ogg,1666564275.7549__file_20.aac,2022-10-23 22:31:15.525208+00,OGG,AAC,PROCESSED,1,2022-10-23 22:33:09.869095+00
21,1666564276.064766__file_21.ogg,1666564276.064766__file_21.wma,2022-10-23 22:31:15.765897+00,OGG,WMA,PROCESSED,1,2022-10-23 22:33:12.992757+00
22,1666564277.05581__file_22.wav,1666564277.05581__file_22.aac,2022-10-23 22:31:16.075333+00,WAV,AAC,PROCESSED,1,2022-10-23 22:33:16.469554+00
24,1666564279.467571__file_24.wav,1666564279.467571__file_24.ogg,2022-10-23 22:31:18.402267+00,WAV,OGG,PROCESSED,1,2022-10-23 22:33:27.11171+00
25,1666564280.594342__file_25.wav,1666564280.594342__file_25.wma,2022-10-23 22:31:19.475107+00,WAV,WMA,PROCESSED,1,2022-10-23 22:33:28.696324+00
